No         Predictions            Accuracy [%]
993        (1 0 2 3 1 1 1)              98.336
994        (1 0 0 0 2 2 1)              98.337
995        (1 0 1 2 1 1 1)              98.339
996        (1 0 1 2 1 1 1)              98.341
997        (1 0 2 3 2 1 2)              98.342
998        (1 0 2 3 2 1 1)              98.344
999        (1 0 3 1 2 1 2)              98.346
1000       (1 0 3 1 2 1 2)              98.347
1001       (1 0 2 3 2 1 2)              98.349
1002       (1 0 3 1 2 1 1)              98.351
1003       (1 0 1 2 1 1 1)              98.352
1004       (1 0 2 3 2 1 2)              98.354
1005       (1 0 1 2 1 1 1)              98.355
1006       (1 0 3 1 2 1 2)              98.357
1007       (1 0 2 3 2 1 2)              98.359
1008       (1 0 2 3 2 1 2)              98.360
1009       (1 0 2 3 2 1 2)              98.362
1010       (1 0 1 2 1 1 1)              98.364
1011       (1 0 2 3 2 1 2)              98.365
1012       (1 0 2 3 1 2 1)              98.367
1013       (1 0 3 0 0 2 1)              98.326
1014       (1 0 2 3 2 1 2)              98.328
1015       (1 0 2 3 2 1 1)              98.315
1017       (1 0 1 2 1 1 1)              98.317
1018       (1 0 2 3 2 1 2)              98.318
1019       (1 0 1 2 1 1 1)              98.320
1020       (1 0 3 1 2 1 2)              98.322
1021       (1 0 2 3 2 1 1)              98.323
1022       (1 0 2 3 2 1 2)              98.325
1023       (1 0 2 3 2 1 2)              98.327
1024       (1 0 2 3 2 1 2)              98.328
1025       (1 0 2 3 2 1 2)              98.330
1026       (1 0 2 3 2 2 1)              98.332
1027       (1 0 2 3 1 2 1)              98.333
1028       (1 0 2 3 2 1 2)              98.335
1029       (1 0 2 3 2 1 2)              98.337
1030       (1 0 1 2 1 1 1)              98.338
1031       (1 0 0 0 2 2 1)              98.340
1032       (1 0 2 3 2 1 2)              98.341
1033       (1 0 3 1 2 1 2)              98.343
1034       (1 0 3 1 2 1 2)              98.345
1035       (1 0 0 0 2 2 1)              98.346
1036       (1 0 2 3 2 1 2)              98.348
1037       (1 0 3 1 2 1 2)              98.350
1038       (1 0 2 3 1 2 1)              98.351
1039       (1 0 2 3 2 1 2)              98.353
1040       (1 0 3 1 2 1 2)              98.354
1041       (1 0 2 3 2 1 2)              98.356
1042       (1 0 2 3 2 1 2)              98.357
1043       (1 0 3 1 2 1 2)              98.359
1044       (1 0 2 3 1 1 1)              98.361
1045       (1 0 2 3 1 2 1)              98.362
1046       (1 0 2 3 2 1 2)              98.364
1047       (1 0 3 1 2 1 2)              98.365
1048       (1 0 2 3 2 1 2)              98.367
1049       (1 0 3 6 0 0 0)              98.341
1050       (1 0 2 3 2 1 1)              98.343
1051       (1 0 1 2 0 0 1)              98.344
1052       (1 0 2 3 1 2 1)              98.332
1053       (1 0 2 3 2 1 2)              98.334
1054       (1 0 2 3 2 1 2)              98.335
1055       (1 0 1 2 1 1 1)              98.337
1056       (1 0 1 2 2 2 1)              98.339
1057       (1 0 1 2 1 2 0)              98.340
1058       (1 0 2 3 2 1 2)              98.342
1059       (1 0 1 2 1 1 1)              98.343
1060       (1 0 2 3 2 1 2)              98.345
1061       (1 0 3 1 2 1 2)              98.346
1062       (1 0 3 1 2 1 2)              98.348
1063       (1 0 1 2 1 1 1)              98.350
1064       (1 0 3 1 2 1 2)              98.351
1065       (1 0 2 3 1 2 1)              98.353
1066       (1 0 2 3 2 2 1)              98.354
1067       (1 0 3 1 1 1 1)              98.329
1068       (1 0 1 2 1 1 1)              98.330
1069       (1 0 2 3 2 1 1)              98.332
1070       (1 0 1 2 1 1 1)              98.334
1071       (1 0 3 1 1 1 1)              98.335
1072       (1 0 1 2 1 2 0)              98.337
1073       (1 0 3 1 1 1 1)              98.338
1074       (1 0 3 1 2 1 2)              98.326
1075       (1 0 2 3 1 1 1)              98.328
1076       (1 0 2 3 2 1 2)              98.330
1077       (1 0 1 2 1 1 1)              98.331
1078       (1 0 2 3 1 1 1)              98.333
1079       (1 0 2 3 2 1 2)              98.334
1080       (1 0 2 3 2 1 2)              98.336
1081       (1 0 1 2 1 2 1)              98.337
1082       (1 0 1 2 1 1 1)              98.339
1083       (1 0 3 1 2 1 2)              98.340
1084       (1 0 2 3 1 1 1)              98.342
1085       (1 0 2 3 2 1 2)              98.343
1086       (1 0 1 2 1 1 1)              98.345
1087       (1 0 2 3 2 1 2)              98.347
1088       (1 0 3 1 2 1 2)              98.348
1089       (1 0 2 3 1 1 1)              98.323
1090       (1 0 2 3 2 1 2)              98.325
1091       (1 0 3 1 2 1 2)              98.326
1092       (1 0 2 3 2 1 2)              98.328
1093       (1 0 2 3 2 1 2)              98.329
1094       (1 0 2 3 1 1 1)              98.318
1095       (1 0 0 0 1 2 0)              98.319
1096       (1 0 2 3 2 1 1)              98.321
1097       (1 0 3 1 2 1 2)              98.322
1098       (1 0 1 2 1 1 1)              98.324
1099       (1 0 2 3 2 1 2)              98.325
1100       (1 0 2 3 2 1 2)              98.327
1101       (1 0 2 3 1 1 1)              98.329
1102       (1 0 2 3 1 2 1)              98.330
1103       (1 0 4 2 1 1 1)              98.319
1104       (1 0 0 0 2 2 1)              98.320
1105       (1 0 0 0 2 2 1)              98.322
1106       (1 0 2 3 2 1 2)              98.323
1107       (1 0 3 1 2 1 2)              98.325
1108       (1 0 2 3 1 2 1)              98.326
1109       (1 0 2 3 2 1 2)              98.328
1110       (1 0 3 1 2 1 2)              98.329
1111       (1 0 2 3 2 1 2)              98.331
1112       (1 0 1 2 0 0 1)              98.332
1113       (1 0 3 1 2 1 2)              98.334
1114       (1 0 3 1 2 1 2)              98.335
1115       (1 0 2 3 2 1 2)              98.337
1116       (1 0 1 2 1 1 1)              98.338
1117       (1 0 1 2 1 1 1)              98.340
1118       (1 0 3 1 2 1 2)              98.341
1119       (1 0 1 2 0 0 1)              98.343
1120       (1 0 2 3 1 2 1)              98.344
1121       (1 0 3 1 2 1 2)              98.346
1122       (1 0 3 1 2 1 1)              98.347
1123       (1 0 3 1 2 1 1)              98.336
1124       (1 0 2 3 2 1 2)              98.337
1125       (1 0 3 1 1 1 1)              98.339
1126       (1 0 3 1 2 1 2)              98.340
1127       (1 0 2 3 2 1 2)              98.342
1128       (1 0 1 2 0 0 1)              98.343
1129       (1 0 2 3 1 2 1)              98.345
1130       (1 0 1 2 1 1 1)              98.346
1131       (1 0 2 3 2 1 2)              98.348
1132       (1 0 2 3 2 1 2)              98.349
1133       (1 0 1 2 1 1 1)              98.351
1134       (1 0 3 1 2 1 2)              98.352
1135       (1 0 3 1 2 1 2)              98.354
1136       (1 0 2 3 2 1 2)              98.355
1137       (1 0 1 2 1 2 1)              98.357
1138       (1 0 2 3 1 2 1)              98.358
1139       (1 0 1 2 1 2 1)              98.359
1140       (1 0 2 3 2 1 1)              98.361
1141       (1 0 3 1 2 1 2)              98.362
1142       (1 0 0 0 0 2 0)              98.364
1143       (1 0 2 3 2 1 2)              98.365
1144       (1 0 0 0 1 0 1)              98.367
1145       (1 0 3 1 2 1 2)              98.368
1146       (1 0 3 1 2 1 2)              98.369
1147       (1 0 3 1 2 1 2)              98.358
1148       (1 0 3 1 2 1 2)              98.360
1149       (1 0 2 3 2 1 2)              98.361
1150       (1 0 3 1 2 1 2)              98.350
1151       (1 0 3 1 2 1 2)              98.352
1152       (1 0 2 3 1 2 1)              98.353
1153       (1 0 3 1 1 1 1)              98.355
1154       (1 0 2 3 2 1 2)              98.356
1155       (1 0 1 2 1 1 1)              98.357
1156       (1 0 2 3 2 1 2)              98.359
1157       (1 0 3 1 2 1 2)              98.360
1158       (1 0 3 1 2 1 2)              98.362
1159       (1 0 2 3 2 1 2)              98.363
1160       (1 0 2 3 2 1 2)              98.365
1161       (1 0 3 1 2 1 2)              98.366
1162       (1 0 2 3 2 1 2)              98.343
1163       (1 0 2 3 2 1 2)              98.344
1164       (1 0 2 3 1 2 0)              98.345
1165       (1 0 2 3 1 2 1)              98.347
1166       (1 0 2 3 1 1 1)              98.348
1167       (1 0 1 2 1 1 1)              98.350
1168       (1 0 2 3 2 1 2)              98.351
1169       (1 0 1 2 1 2 0)              98.353
1170       (1 0 3 1 1 1 1)              98.354
1171       (1 0 2 3 2 1 2)              98.355
1172       (1 0 2 3 2 1 2)              98.357
1173       (1 0 3 1 2 1 2)              98.358
1174       (1 0 2 3 1 2 1)              98.360
1175       (1 0 3 1 2 1 2)              98.361
1176       (1 0 2 3 2 2 1)              98.362
1177       (1 0 2 3 2 1 2)              98.364
1178       (1 0 0 0 1 0 1)              98.365
1179       (1 0 2 3 2 1 2)              98.367
1180       (1 0 2 3 2 1 2)              98.368
1181       (1 0 3 1 2 1 2)              98.369
1182       (1 0 2 3 2 1 2)              98.371
1183       (1 0 3 1 2 1 2)              98.372
1184       (1 0 2 3 1 0 1)              98.374
1185       (1 0 3 1 2 1 2)              98.375
1186       (1 0 2 3 2 1 2)              98.376
1187       (1 0 2 3 1 1 1)              98.378
1188       (1 0 3 1 2 1 2)              98.379
1189       (1 0 2 3 2 1 2)              98.380
1190       (1 0 2 3 2 1 1)              98.382
1191       (1 0 1 2 1 0 1)              98.359
1192       (1 0 3 1 2 1 1)              98.360
1193       (1 0 3 1 2 1 2)              98.362
1194       (1 0 3 1 2 1 2)              98.363
1195       (1 0 2 3 2 1 2)              98.365
1196       (1 0 2 3 2 1 1)              98.366
1197       (1 0 2 3 2 1 2)              98.367
1198       (1 0 2 3 2 1 2)              98.369
1199       (1 0 3 1 2 1 1)              98.358
1200       (1 0 2 3 2 1 2)              98.359
1201       (1 0 3 1 1 1 1)              98.361
1202       (1 0 3 1 2 1 2)              98.362
1203       (1 0 1 2 1 1 1)              98.364
1204       (1 0 2 3 2 1 1)              98.365
1205       (1 0 1 2 1 1 1)              98.366
1206       (1 0 2 3 2 1 2)              98.368
1207       (1 0 2 3 2 1 1)              98.369
1208       (1 0 2 3 2 1 1)              98.359
1209       (1 0 2 3 2 1 2)              98.360
1210       (1 0 2 3 2 1 1)              98.361
1211       (1 0 2 3 1 1 1)              98.363
1212       (1 0 2 3 2 1 2)              98.364
1213       (1 0 3 1 2 1 2)              98.365
1214       (1 0 2 3 1 2 1)              98.367
1215       (1 0 3 1 2 1 2)              98.368
1216       (1 0 2 3 2 1 2)              98.369
1217       (1 0 3 1 2 1 2)              98.371
1218       (1 0 1 2 1 1 1)              98.372
1219       (1 0 2 3 2 1 2)              98.362
1220       (1 0 2 3 2 1 2)              98.363
1221       (1 0 2 3 2 1 2)              98.364
1222       (1 0 2 3 2 1 2)              98.366
1224       (1 0 2 3 2 1 1)              98.367
1225       (1 0 1 2 1 1 1)              98.368
1226       (1 0 1 2 1 1 1)              98.370
1227       (1 0 2 3 2 1 1)              98.371
1228       (1 0 2 3 2 1 2)              98.372
1229       (1 0 2 3 2 1 1)              98.374
1230       (1 0 1 2 1 1 1)              98.375
1231       (1 0 3 1 2 1 2)              98.376
1232       (1 0 3 1 2 1 2)              98.378
1233       (1 0 1 2 1 1 1)              98.379
1234       (1 0 3 1 2 1 2)              98.380
1235       (1 0 2 3 2 1 2)              98.382
1236       (1 0 2 3 2 1 2)              98.383
1237       (1 0 2 3 2 1 2)              98.384
1238       (1 0 2 3 2 1 2)              98.386
1239       (1 0 1 2 1 1 1)              98.387
1240       (1 0 2 3 1 2 1)              98.377
1241       (1 0 3 1 2 1 2)              98.378
1242       (1 0 2 3 2 1 2)              98.379
1243       (1 0 0 0 1 2 0)              98.381
1244       (1 0 1 2 1 1 1)              98.382
1245       (1 0 3 1 2 1 2)              98.383
1246       (1 0 3 1 2 1 2)              98.384
1247       (1 0 2 3 2 1 2)              98.386
1249       (1 0 2 3 2 1 2)              98.387
1250       (1 0 2 3 2 1 2)              98.388
1251       (1 0 1 2 1 1 1)              98.390
1252       (1 0 1 2 1 1 1)              98.391
1253       (1 0 2 3 2 2 1)              98.392
1254       (1 0 3 1 2 1 2)              98.394
1255       (1 0 4 1 1 1 1)              98.383
1256       (1 0 1 2 0 0 1)              98.385
1257       (1 0 1 2 1 1 1)              98.386
1258       (1 0 2 3 2 1 1)              98.376
1259       (1 0 2 3 2 1 2)              98.377
1260       (1 0 2 3 2 1 2)              98.378
1261       (1 0 2 3 2 1 2)              98.380
1262       (1 0 2 3 2 1 2)              98.381
1263       (1 0 3 1 2 1 2)              98.382
1264       (1 0 1 2 1 2 1)              98.384
1265       (1 0 2 3 1 1 1)              98.385
1266       (1 0 1 2 0 0 1)              98.386
1267       (1 0 3 1 2 1 2)              98.387
1268       (1 0 1 2 1 1 1)              98.389
1269       (1 0 2 3 1 1 1)              98.367
1270       (1 0 2 3 0 0 0)              98.369
1271       (1 0 1 2 1 1 1)              98.370
1272       (1 0 0 0 1 2 0)              98.371
1273       (1 0 3 1 2 1 2)              98.373
1274       (1 0 2 3 2 1 2)              98.374
1275       (1 0 2 3 1 2 1)              98.375
1276       (1 0 1 2 1 1 1)              98.376
1277       (1 0 3 1 2 1 2)              98.378
1278       (1 0 2 1 1 1 1)              98.368
1279       (1 0 3 1 2 1 2)              98.369
1280       (1 0 1 2 1 1 1)              98.370
1281       (1 0 2 3 2 1 2)              98.372
1283       (1 0 1 2 1 1 1)              98.373
1284       (1 0 2 3 2 1 1)              98.374
1285       (1 0 2 3 2 1 2)              98.375
1286       (1 0 2 3 2 1 2)              98.377
1287       (1 0 1 2 1 1 1)              98.378
1288       (1 0 2 3 2 1 2)              98.379
1289       (1 0 2 3 1 2 1)              98.380
1290       (1 0 2 3 1 2 1)              98.382
1291       (1 0 1 2 1 1 1)              98.383
1292       (1 0 1 2 1 1 1)              98.384
1293       (1 0 3 1 2 1 2)              98.374
1294       (1 0 1 2 1 1 1)              98.376
1295       (1 0 2 3 2 1 2)              98.377
1296       (1 0 3 1 2 1 2)              98.378
1297       (1 0 1 2 1 2 1)              98.379
1298       (1 0 2 3 2 1 2)              98.381
1299       (1 0 2 3 2 1 2)              98.382
1300       (1 0 1 2 1 1 1)              98.383
1301       (1 0 2 3 2 1 2)              98.384
1302       (1 0 2 3 2 1 2)              98.386
1303       (1 0 2 3 2 1 2)              98.387
1304       (1 0 2 3 2 1 1)              98.388
1305       (1 0 2 3 2 1 1)              98.389
1306       (1 0 3 1 2 1 2)              98.380
1307       (1 0 1 2 1 2 0)              98.381
1308       (1 0 2 3 2 1 2)              98.382
1309       (1 0 2 3 2 1 2)              98.383
1310       (1 0 3 1 1 1 1)              98.385
1311       (1 0 2 3 2 1 2)              98.386
1312       (1 0 2 3 2 1 2)              98.387
1313       (1 0 3 1 2 1 1)              98.388
1314       (1 0 0 0 1 2 0)              98.390
1315       (1 0 2 3 2 1 2)              98.391
1316       (1 0 3 1 2 1 2)              98.381
1317       (1 0 3 1 2 1 1)              98.382
1318       (1 0 2 3 2 1 2)              98.384
1319       (1 0 3 1 2 1 2)              98.385
1320       (1 0 2 3 1 1 1)              98.386
1321       (1 0 3 1 2 1 2)              98.387
1322       (1 0 1 2 1 1 1)              98.389
1323       (1 0 2 3 2 1 2)              98.390
1324       (1 0 2 3 2 1 1)              98.391
1325       (1 0 2 3 2 2 1)              98.392
1326       (1 0 3 1 2 1 2)              98.393
1327       (1 0 1 2 1 1 1)              98.395
1328       (1 0 3 1 1 1 1)              98.396
1329       (1 0 2 3 2 1 1)              98.397
1330       (1 0 0 0 1 2 0)              98.398
1331       (1 0 3 1 2 1 1)              98.399
1332       (1 0 3 1 2 1 2)              98.401
1333       (1 0 1 2 1 1 1)              98.402
1334       (1 0 0 6 0 1 1)              98.371
1335       (1 0 3 1 2 1 1)              98.361
1336       (1 0 2 3 2 1 2)              98.362
1337       (1 0 1 2 1 1 1)              98.364
1338       (1 0 3 1 2 1 2)              98.365
1339       (1 0 3 1 2 1 2)              98.366
1340       (1 0 3 1 1 1 1)              98.367
1341       (1 0 3 1 2 1 2)              98.369
1342       (1 0 2 3 2 1 2)              98.370
1343       (1 0 2 3 1 2 0)              98.371
1344       (1 0 3 1 2 1 2)              98.372
1345       (1 0 3 1 2 1 1)              98.373
1346       (1 0 3 1 2 1 2)              98.375
1347       (1 0 0 0 2 2 1)              98.376
1348       (1 0 3 1 2 1 2)              98.377
1349       (1 0 3 1 2 1 2)              98.378
1350       (1 0 2 3 2 1 2)              98.380
1351       (1 0 2 3 2 1 2)              98.381
1352       (1 0 3 1 2 1 2)              98.382
1353       (1 0 3 1 2 1 2)              98.383
1354       (1 0 2 3 2 1 2)              98.384
1355       (1 0 3 1 2 1 2)              98.375
1356       (1 0 2 3 1 2 1)              98.376
1357       (1 0 2 3 2 1 2)              98.377
1358       (1 0 2 3 2 1 2)              98.379
1359       (1 0 2 3 2 1 2)              98.380
1360       (1 0 2 3 1 2 1)              98.381
1361       (1 0 1 2 1 1 1)              98.382
1362       (1 0 2 3 2 1 2)              98.383
1363       (1 0 2 3 1 1 0)              98.374
1364       (1 0 3 1 2 1 1)              98.375
1365       (1 0 2 3 2 1 2)              98.376
1366       (1 0 2 3 1 2 1)              98.378
1367       (1 0 1 2 1 1 1)              98.379
1368       (1 0 3 1 2 1 2)              98.380
1369       (1 0 1 2 1 1 1)              98.381
1370       (1 0 3 1 2 1 2)              98.372
1371       (1 0 2 3 2 1 2)              98.373
1372       (1 0 3 1 2 1 2)              98.374
1373       (1 0 3 1 2 1 2)              98.365
1374       (1 0 1 2 1 1 1)              98.366
1375       (1 0 2 3 2 1 2)              98.367
1376       (1 0 1 2 0 0 1)              98.369
1377       (1 0 3 1 1 1 1)              98.370
1378       (1 0 3 1 2 1 1)              98.371
1379       (1 0 3 1 2 1 2)              98.372
1380       (1 0 1 2 1 1 1)              98.373
1381       (1 0 2 3 2 1 2)              98.374
1382       (1 0 1 2 1 1 1)              98.376
1383       (1 0 3 1 2 1 2)              98.377
1384       (1 0 2 3 2 1 2)              98.378
1385       (1 0 1 1 0 0 1)              98.358
1386       (1 0 2 3 2 1 2)              98.360
1387       (1 0 2 3 2 1 2)              98.361
1388       (1 0 3 1 2 1 2)              98.362
1389       (1 0 3 1 2 1 2)              98.363
1390       (1 0 3 1 2 1 2)              98.354
1391       (1 0 1 2 1 1 1)              98.355
1392       (1 0 2 3 2 1 2)              98.356
1393       (1 0 1 2 1 1 1)              98.358
1394       (1 0 3 1 2 1 1)              98.359
1395       (1 0 3 1 2 1 2)              98.360
1396       (1 0 3 1 2 1 2)              98.361
1397       (1 0 3 1 2 1 2)              98.362
1398       (1 0 3 1 2 1 2)              98.364
1399       (1 0 2 3 2 1 2)              98.365
1400       (1 0 3 1 2 1 2)              98.366
1401       (1 0 2 3 2 1 2)              98.367
1402       (1 0 3 1 2 1 2)              98.358
1403       (1 0 2 3 1 2 1)              98.359
1404       (1 0 3 1 2 1 2)              98.360
1405       (1 0 3 1 2 1 2)              98.361
1406       (1 0 2 3 1 2 1)              98.363
1407       (1 0 3 1 2 1 1)              98.364
1408       (1 0 2 3 1 1 1)              98.365
1409       (1 0 2 3 2 1 2)              98.366
1410       (1 0 3 1 2 1 2)              98.367
1411       (1 0 3 1 2 1 2)              98.348
1412       (1 0 2 3 2 1 2)              98.349
1413       (1 0 3 1 2 1 1)              98.350
1414       (1 0 2 3 2 1 1)              98.352
1415       (1 0 2 3 2 1 2)              98.353
1416       (1 0 2 3 1 1 1)              98.354
1417       (1 0 2 3 2 1 2)              98.355
1418       (1 0 2 3 2 1 2)              98.356
1419       (1 0 1 2 1 1 1)              98.357
1420       (1 0 1 2 1 1 1)              98.359
1421       (1 0 2 3 2 1 1)              98.360
1422       (1 0 2 3 2 1 2)              98.361
1423       (1 0 2 3 2 1 2)              98.362
1424       (1 0 3 1 2 1 2)              98.363
1425       (1 0 2 3 2 1 2)              98.354
1426       (1 0 2 3 2 2 1)              98.356
1427       (1 0 2 3 2 1 2)              98.357
1428       (1 0 3 1 2 1 1)              98.358
1429       (1 0 2 3 2 1 1)              98.359
1430       (1 0 1 2 1 1 1)              98.360
1431       (1 0 3 1 2 1 2)              98.361
1432       (1 0 1 2 1 1 1)              98.362
1433       (1 0 3 1 2 1 2)              98.364
1434       (1 0 2 3 1 2 1)              98.365
1435       (1 0 2 3 2 1 2)              98.366
1436       (1 0 1 2 1 1 1)              98.367
1437       (1 0 2 3 2 1 2)              98.368
1438       (1 0 2 3 2 1 2)              98.369
1439       (1 0 2 3 2 1 2)              98.370
1440       (1 0 1 2 1 1 1)              98.372
1441       (1 0 2 3 2 1 2)              98.373
1442       (1 0 3 1 2 1 2)              98.364
1443       (1 0 1 2 1 1 1)              98.365
1444       (1 0 1 2 1 1 1)              98.366
1445       (1 0 2 3 2 1 2)              98.367
1446       (1 0 2 3 1 1 1)              98.349
1447       (1 0 2 3 2 1 2)              98.350
1448       (1 0 1 2 1 1 1)              98.351
1449       (1 0 2 3 2 1 2)              98.352
1450       (1 0 2 3 2 1 2)              98.353
1451       (1 0 2 3 2 1 1)              98.354
1452       (1 0 1 2 1 1 1)              98.355
1453       (1 0 2 3 2 1 2)              98.357
1454       (1 0 2 3 2 1 2)              98.358
1455       (1 0 2 3 2 2 1)              98.359
1456       (1 0 2 3 2 1 2)              98.350
1457       (1 0 1 2 1 1 1)              98.332
1458       (1 0 2 3 1 1 1)              98.323
1459       (1 0 2 3 2 1 2)              98.324
1460       (1 0 3 1 2 1 2)              98.315
1461       (1 0 3 1 2 1 2)              98.316
1462       (1 0 1 2 0 0 1)              98.318
1463       (1 0 1 2 1 1 1)              98.319
1464       (1 0 2 3 2 1 2)              98.320
1465       (1 0 3 1 2 1 2)              98.321
1466       (1 0 2 3 1 1 1)              98.312
1467       (1 0 2 3 2 1 2)              98.314
1468       (1 0 2 3 2 1 2)              98.315
1469       (1 0 3 1 2 1 2)              98.316
1470       (1 0 3 1 2 1 2)              98.317
1471       (1 0 1 2 1 1 1)              98.318
1472       (1 0 0 0 1 2 0)              98.319
1473       (1 0 1 2 1 1 1)              98.320
1474       (1 0 2 3 2 1 2)              98.322
1475       (1 0 2 3 1 2 1)              98.323
1476       (1 0 1 2 1 2 1)              98.324
1477       (1 0 1 2 1 1 1)              98.325
1478       (1 0 2 3 2 1 2)              98.326
1479       (1 0 1 2 1 1 1)              98.327
1480       (1 0 1 2 1 1 1)              98.328
1481       (1 0 3 1 2 1 2)              98.330
1482       (1 0 3 1 2 1 2)              98.331
1483       (1 0 3 1 2 1 2)              98.332
1484       (1 0 2 3 2 1 1)              98.333
1485       (1 0 2 3 2 1 2)              98.334
1486       (1 0 1 2 2 2 1)              98.335
1487       (1 0 0 0 0 2 0)              98.336
1488       (1 0 0 0 0 0 0)              98.318
1489       (1 0 2 3 2 1 2)              98.310
1490       (1 0 2 3 1 1 1)              98.311
1491       (1 0 2 3 2 1 1)              98.302
1492       (1 0 2 3 2 1 2)              98.303
1493       (1 0 1 2 1 1 1)              98.305
1494       (1 0 2 3 2 1 1)              98.306
1495       (1 0 2 3 2 1 2)              98.307
1496       (1 0 3 1 2 1 1)              98.308
1497       (1 0 2 3 2 1 2)              98.309
1498       (1 0 1 2 1 1 1)              98.310
1499       (1 0 3 1 2 1 2)              98.311
1500       (1 0 2 3 2 1 2)              98.313
1501       (1 0 2 3 1 2 1)              98.314
1502       (1 0 2 3 2 1 2)              98.315
1503       (1 0 2 3 2 1 2)              98.316
1504       (1 0 2 3 2 1 2)              98.317
1505       (1 0 2 3 1 1 1)              98.299
1506       (1 0 2 3 2 2 1)              98.300
1507       (1 0 3 1 1 1 1)              98.301
1508       (1 0 2 3 2 1 2)              98.302
1509       (1 0 2 3 1 2 1)              98.304
1510       (1 0 0 0 2 2 1)              98.305
1511       (1 0 3 1 2 1 2)              98.306
1512       (1 0 2 3 1 2 1)              98.307
1513       (1 0 1 2 1 1 1)              98.308
1514       (1 0 1 2 1 1 1)              98.309
1515       (1 0 1 2 1 1 1)              98.310
1516       (1 0 2 3 2 1 2)              98.312
1517       (1 0 2 3 2 1 2)              98.313
1518       (1 0 1 2 1 1 1)              98.314
1519       (1 0 1 2 1 1 1)              98.315
1520       (1 0 1 2 1 2 1)              98.307
1521       (1 0 2 3 2 1 2)              98.308
1522       (1 0 2 3 1 2 1)              98.309
1523       (1 0 2 3 2 2 1)              98.310
1524       (1 0 1 2 1 1 1)              98.311
1525       (1 0 2 3 2 1 2)              98.312
1526       (1 0 1 2 1 2 1)              98.313
1527       (1 0 2 3 2 1 2)              98.314
1528       (1 0 3 1 2 1 2)              98.315
1529       (1 0 1 2 2 2 1)              98.317
1530       (1 0 2 3 2 1 2)              98.308
1531       (1 0 1 2 1 1 1)              98.309
1532       (1 0 3 1 2 1 1)              98.310
1533       (1 0 2 3 2 1 2)              98.312
1534       (1 0 2 3 2 1 2)              98.313
1535       (1 0 3 1 1 1 1)              98.304
1536       (1 0 1 2 1 1 1)              98.306
1537       (1 0 3 1 2 1 2)              98.307
1538       (1 0 3 1 2 1 2)              98.308
1539       (1 0 2 3 1 2 1)              98.309
1540       (1 0 3 1 2 1 2)              98.310
1541       (1 0 1 2 1 1 1)              98.311
1542       (1 0 2 3 2 1 2)              98.312
1543       (1 0 3 1 2 1 2)              98.304
1544       (1 0 2 3 2 1 2)              98.305
1545       (1 0 3 1 1 1 1)              98.306
1546       (1 0 2 3 2 1 2)              98.307
1547       (1 0 1 2 1 1 1)              98.308
1548       (1 0 3 1 1 1 1)              98.309
1549       (1 0 1 2 1 1 1)              98.311
1550       (1 0 3 1 2 1 2)              98.312
1551       (1 0 2 3 2 1 2)              98.313
1552       (1 0 1 2 1 1 1)              98.314
1553       (1 0 1 2 2 2 1)              98.315
1554       (1 0 2 3 2 1 2)              98.316
1555       (1 0 2 3 2 1 2)              98.317
1556       (1 0 2 3 2 1 2)              98.318
1557       (1 0 3 1 2 1 2)              98.310
1558       (1 0 1 2 1 1 1)              98.311
1559       (1 0 1 2 0 0 1)              98.312
1560       (1 0 1 2 1 1 1)              98.313
1561       (1 0 1 2 1 1 1)              98.314
1562       (1 0 1 2 1 1 1)              98.316
1563       (1 0 1 2 1 2 1)              98.317
1564       (1 0 2 3 2 1 1)              98.318
1565       (1 0 2 3 2 1 2)              98.319
1566       (1 0 3 1 2 1 1)              98.320
1567       (1 0 2 3 2 1 2)              98.321
1568       (1 0 2 3 2 1 2)              98.322
1569       (1 0 2 3 1 1 1)              98.305
1570       (1 0 2 3 1 2 1)              98.306
1571       (1 0 1 2 1 1 1)              98.307
1572       (1 0 3 1 1 1 1)              98.308
1573       (1 0 0 0 0 2 0)              98.309
1574       (1 0 2 3 2 1 2)              98.310
1575       (1 0 3 1 2 1 2)              98.311
1576       (1 0 1 2 0 0 1)              98.312
1577       (1 0 2 3 2 1 2)              98.313
1578       (1 0 2 3 2 1 2)              98.315
1579       (1 0 3 1 2 1 2)              98.306
1580       (1 0 2 3 2 1 2)              98.308
1581       (1 0 2 3 1 2 1)              98.309
1582       (1 0 1 2 1 1 1)              98.310
1583       (1 0 3 1 2 1 2)              98.302
1584       (1 0 1 2 1 1 1)              98.303
1585       (1 0 2 3 1 1 1)              98.304
1586       (1 0 0 0 2 2 1)              98.305
1587       (1 0 1 2 1 1 1)              98.306
1588       (1 0 2 3 1 1 1)              98.307
1589       (1 0 2 3 2 1 2)              98.308
1590       (1 0 4 0 0 0 0)              98.300
1591       (1 0 1 2 1 1 1)              98.301
1592       (1 0 1 2 1 1 1)              98.302
1593       (1 0 1 2 1 1 1)              98.303
1594       (1 0 1 2 1 1 1)              98.304
1595       (1 0 3 1 2 1 2)              98.297
1596       (1 0 1 2 1 1 1)              98.298
1597       (1 0 2 3 2 1 2)              98.299
1598       (1 0 3 1 2 1 1)              98.300
1599       (1 0 1 2 1 2 0)              98.301
1600       (1 0 3 1 2 1 2)              98.302
1601       (1 0 2 3 2 1 2)              98.303
1602       (1 0 3 1 1 1 1)              98.304
1603       (1 0 3 1 2 1 2)              98.305
1604       (1 0 2 3 2 1 1)              98.306
